customer_id,name,city,email
1,Adhi,Chennai,adhi@gmail.com
2,Ravi,Mumbai,ravi@gmail.com
3,Bala,Delhi,bala@gmail.com
4,Ajay,Bangalore,ajay@gmail.com
5,Sara,Hyderabad,sara@gmail.com
6,Karan,Kolkata,karan@gmail.com
7,Divya,Chennai,divya@gmail.com
8,Rahul,Mumbai,rahul@gmail.com
9,Priya,Delhi,priya@gmail.com
10,Anil,Chennai,anil@gmail.com
11,Nikita,Delhi,nikita@gmail.com
12,Vikram,Bangalore,vikram@gmail.com
13,Meena,Hyderabad,meena@gmail.com
14,Suresh,Kolkata,suresh@gmail.com
15,Pooja,Chennai,pooja@gmail.com
16,Aman,Delhi,aman@gmail.com
17,Lakshmi,Mumbai,lakshmi@gmail.com
18,Gaurav,Bangalore,gaurav@gmail.com
19,Kavya,Chennai,kavya@gmail.com
20,Deepak,Delhi,deepak@gmail.com
21,Adhi,Chennai,adhi@gmail.com
22,Ravi,Mumbai,ravi@gmail.com
23,Bala,Delhi,bala@gmail.com
24,Ajay,Bangalore,ajay@gmail.com
25,Sara,Hyderabad,sara@gmail.com
26,Karan,Kolkata,karan@gmail.com
27,Divya,Chennai,divya@gmail.com
28,Rahul,Mumbai,rahul@gmail.com
29,Priya,Delhi,priya@gmail.com
30,Anil,Chennai,anil@gmail.com
31,Nikita,Delhi,nikita@gmail.com
32,Vikram,Bangalore,vikram@gmail.com
33,Meena,Hyderabad,meena@gmail.com
34,Suresh,Kolkata,suresh@gmail.com
35,Pooja,Chennai,pooja@gmail.com
36,Aman,Delhi,aman@gmail.com
37,Lakshmi,Mumbai,lakshmi@gmail.com
38,Gaurav,Bangalore,gaurav@gmail.com
39,Kavya,Chennai,kavya@gmail.com
40,Deepak,Delhi,deepak@gmail.com
41,Adhi,Chennai,adhi@gmail.com
42,Ravi,Mumbai,ravi@gmail.com
43,Bala,Delhi,bala@gmail.com
44,Ajay,Bangalore,ajay@gmail.com
45,Sara,Hyderabad,sara@gmail.com
46,Karan,Kolkata,karan@gmail.com
47,Divya,Chennai,divya@gmail.com
48,Rahul,Mumbai,rahul@gmail.com
49,Priya,Delhi,priya@gmail.com
50,Anil,Chennai,anil@gmail.com
51,Nikita,Delhi,nikita@gmail.com
52,Vikram,Bangalore,vikram@gmail.com
53,Meena,Hyderabad,meena@gmail.com
54,Suresh,Kolkata,suresh@gmail.com
55,Pooja,Chennai,pooja@gmail.com
56,Aman,Delhi,aman@gmail.com
57,Lakshmi,Mumbai,lakshmi@gmail.com
58,Gaurav,Bangalore,gaurav@gmail.com
59,Kavya,Chennai,kavya@gmail.com
60,Deepak,Delhi,deepak@gmail.com
